image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
2179.pgm,Dong-adaptive-conservative,True,512,544,-32,466,0.334734116661972,27.501540052616615,True,True,l=5,14.64739479997661,
2198.pgm,ABM-enumerative,True,512,224,288,279,0.27458234194999226,29.72935718678064,True,True,,2.0207218000432476,
2198.pgm,PPOCP-conservative,True,512,5896,-5384,245,0.14016894191495757,30.293738375871293,True,True,,0.10029209998901933,
2198.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.5699812999228016,capacity below target
2198.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,12.536872399970889,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map is exhausted; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map is exhausted
2323.pgm,ABM-enumerative,True,512,192,320,270,0.3593565999646829,29.871761577926744,True,True,,2.2143790000118315,
2323.pgm,PPOCP-conservative,True,512,4704,-4192,241,0.18993260581130575,30.365228793767933,True,True,,0.09114049992058426,
2323.pgm,Huynh-Nguyen-T5,True,512,1896,-1384,255,0.2778456719922571,30.11999741517706,True,True,,1.576879100059159,
2323.pgm,Dong-adaptive-conservative,True,512,336,176,285,0.3962202298486889,29.636950619431516,True,True,l=8,33.345120100071654,
2460.pgm,ABM-enumerative,True,512,176,336,270,0.323192189566668,29.871761577926744,True,True,,2.4116683000465855,
2460.pgm,PPOCP-conservative,True,512,5392,-4880,245,0.18779997713676652,30.293738375871293,True,True,,0.0812784000299871,
2460.pgm,Huynh-Nguyen-T5,True,512,1848,-1336,253,0.27178305457643803,30.154194007758438,True,True,,1.6397204999811947,
2460.pgm,Dong-adaptive-conservative,True,512,336,176,293,0.34194956487068795,29.516723015975522,True,True,l=1,9.24017330002971,
2512.pgm,ABM-enumerative,True,512,304,208,249,0.12784196868611747,30.22340574855925,True,True,,2.144308999995701,
2512.pgm,PPOCP-conservative,True,512,5744,-5232,248,0.08108608717215052,30.240882411254454,True,True,,0.09539589995983988,
2512.pgm,Huynh-Nguyen-T5,True,512,1096,-584,309,0.1615895411340599,29.28581442526827,True,True,,1.6884934999980032,
2512.pgm,Dong-adaptive-conservative,True,512,416,96,309,0.1456735117398289,29.28581442526827,True,True,l=3,12.903403000091203,
2565.pgm,ABM-enumerative,True,512,184,328,240,0.3387069893301575,30.383286802400555,True,True,,2.190230599953793,
2565.pgm,PPOCP-conservative,True,512,4752,-4240,274,0.26382092461985485,29.807893591312737,True,True,,0.08245999994687736,
2565.pgm,Huynh-Nguyen-T5,True,512,3272,-2760,231,0.30446491931067216,30.549279420595173,True,True,,1.4044404999585822,
2565.pgm,Dong-adaptive-conservative,True,512,304,208,243,0.3924455141886395,30.329336483533496,True,True,l=1,21.20353639998939,
2702.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,1.7227760999230668,capacity below target
